rank_least,municipality,neighborhood,avg_price
1,Zapopan,Puerta de Hierro,70571.43
2,Zapopan,Lomas Del Bosque,67000.0
3,Guadalajara,Providencia 4a Secc,60000.0
4,Zapopan,Royal Country,57600.0
5,Zapopan,Fraccionamiento Arauca,56666.67
6,Zapopan,Condominio Puerta Plata,55000.0
7,Zapopan,Colinas de San Javier,54000.0
8,Zapopan,Fraccionamiento Los Olivos Residencial,53000.0
8,Guadalajara,Providencia Sur,53000.0
9,Zapopan,Villa Universitaria,51672.73
10,Zapopan,Fraccionamineto Mítica Residencial,50000.0
10,Zapopan,Ciudad de los niños,50000.0
