Price,No_rooms,No_bathrooms,Area,Adress,Colony,Type
120000,4,4,635,El Palomar,Tlajomulco de Zúñiga,House
35000,4,4,147,Fraccionamiento Solares,Zapopan,House
35000,3,3,255,Virreyes Residencial,Zapopan,House
59000,3,4,349,Valle Real,Zapopan,House
13000,2,1,50,Alcalde Barranquitas,Guadalajara,House
31000,3,3,240,Providencia,Guadalajara,House
35000,4,4,148,Fraccionamiento Solares,Zapopan,House
22000,4,3,200,Lomas de Santa Anita,Tlajomulco de Zúñiga,House
34000,3,3,136,Fraccionamiento Solares,Zapopan,House
28000,3,3,200,Ciudad Granja,Zapopan,House
35000,3,3,500,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
55000,3,3,333,Royal Country,Zapopan,House
16900,3,2,99,Fraccionamiento Valle Imperial,Zapopan,House
45000,4,5,160,Fraccionamiento Solares,Zapopan,House
27500,4,3,260,Jardines de La Patria,Zapopan,House
10000,2,1,75,Santa Ana Tepetitlán,Zapopan,House
35000,3,3,270,Virreyes Residencial,Zapopan,House
46000,4,4,218,El Bajío,Zapopan,House
140000,4,4,376,Fraccionamiento Puerta del Bosque,Zapopan,House
100000,3,3,600,Valle Real,Zapopan,House
150000,6,6,620,El Cielo Country Club Tlajomulco,El Palomar,House
18000,4,3,105,Fraccionamiento La Cima,Zapopan,House
155000,4,5,385,Fraccionamiento Puerta Las Lomas,Zapopan,House
40000,4,3,198,Chapalita,Guadalajara,House
4500,2,1,80,Lomas de San Agustin,Tlajomulco de Zúñiga,House
50000,4,1,283,Villa Universitaria,Zapopan,House
85000,3,3,568,Puertas Del Tule,Zapopan,House
21000,3,3,120,Fraccionamiento Valle Imperial,Zapopan,House
30000,4,1,628,Niños Héroes,Guadalajara,House
29000,5,5,147,Fraccionamiento Solares,Zapopan,House
16500,1,3,50,Providencia,Guadalajara,House
35000,3,2,450,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
47000,3,3,160,Fraccionamiento Colomos Providencia,Guadalajara,House
13500,3,1,120,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
50000,3,2,300,Ciudad de los niños,Zapopan,House
22000,6,3,80,Americana,Guadalajara,House
17500,3,2,150,Jardines del Valle,Zapopan,House
27000,3,,134,Fraccionamiento Solares,Zapopan,House
9000,2,,89,Loma Dorada Delegación a,Tonalá,House
13000,3,,139,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
23000,4,3,200,Fraccionamiento Bugambilias,Zapopan,House
40000,4,4,233,Valle Real,Zapopan,House
75000,4,4,650,Valle Real,Zapopan,House
14500,4,3,140,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
17500,3,2,150,Jardines del Valle,Zapopan,House
13000,3,2,139,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
25500,3,3,132,Santillana,Zapopan,House
22000,6,1,80,Americana,Guadalajara,House
28000,3,4,160,Parque de La Castellana,Zapopan,House
15500,3,3,99,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
9000,2,2,89,Loma Dorada Delegación a,Tonalá,House
10000,3,5,90,Alta California Residencial,Tlajomulco de Zúñiga,House
31000,3,2,144,Fraccionamiento Solares,Zapopan,House
15000,3,2,90,Fraccionamiento Rinconada San Isidro,Zapopan,House
25500,3,3,126,Santillana,Zapopan,House
54000,3,4,283,Villa Universitaria,Zapopan,House
50000,4,5,428,Puerta de Hierro,Zapopan,House
60000,6,1,645,Bosques de La Victoria,Guadalajara,House
7500,2,2,105,Circunvalación Oblatos,Guadalajara,House
23800,3,,160,Fraccionamiento Valle Imperial,Zapopan,House
21000,3,3,120,Fraccionamiento Valle Imperial,Zapopan,House
9400,3,3,70,Parque Real,Zapopan,House
40000,3,2,198,Chapalita,Guadalajara,House
17500,3,4,150,Casa Fuerte,Tlajomulco de Zúñiga,House
85000,3,4,650,Puerta de Hierro,Zapopan,House
30000,3,2,140,Fraccionamiento Solares,Zapopan,House
11000,3,3,115,Nuevo México,Zapopan,House
50000,4,4,300,Ciudad de los niños,Zapopan,House
33000,4,4,169,Fraccionamiento Solares,Zapopan,House
22000,4,4,135,La Cantera,Zapopan,House
28000,3,3,150,Fraccionamiento Solares,Zapopan,House
38000,3,4,199,Valle Real,Zapopan,House
25000,3,2,199,La Rioja,Tlajomulco de Zúñiga,House
11000,8,8,120,Alta California Residencial,Tlajomulco de Zúñiga,House
72000,3,3,340,Ciudad Del Sol,Zapopan,House
18500,5,4,130,Fraccionamiento Valle Imperial,Zapopan,House
29000,3,7,147,Fraccionamiento Solares,Zapopan,House
78000,4,6,450,Puerta de Hierro,Zapopan,House
75000,4,,840,El Palomar,Tlajomulco de Zúñiga,House
145000,,,1408,Puerta de Hierro,Zapopan,House
100000,4,4,501,Valle Real,Zapopan,House
23000,3,2,140,Fraccionamiento Jardín Real,Zapopan,House
32500,4,4,180,Fraccionamiento Solares,Zapopan,House
10200,3,2,96,Foret,Zapopan,House
21000,3,2,120,Observatorio,Guadalajara,House
750000,8,9,605,Fraccionamiento Jardines de Guadalupe,Zapopan,House
13500,3,2,120,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
80000,3,5,485,Puerta de Hierro,Zapopan,House
21000,3,4,174,Fraccionamiento Valle Imperial,Zapopan,House
35000,4,5,424,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
35000,3,5,450,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
68000,3,2,294,Americana,Guadalajara,House
15000,3,3,136,Bosque Real de Santa Anita,Tlajomulco de Zúñiga,House
47000,5,3,160,Fraccionamiento Colomos Providencia,Guadalajara,House
29000,4,3,147,Fraccionamiento Solares,Zapopan,House
21000,4,3,182,El Centinela,Zapopan,House
